ip,category,confidence,first_seen,last_seen,tags
45.91.64.7,redis-exploit,95,2026-09-16,2026-09-20,docker|exploit|honeypot|jupyter|llamacpp|multi-sensor|redis
92.118.39.50,ssh-exploit,90,2026-09-20,2026-09-20,bruteforce|exploit|gpu-probing|honeypot|ssh
92.118.39.49,ssh-exploit,90,2026-09-14,2026-09-20,bruteforce|exploit|gpu-probing|honeypot|ssh
91.92.42.57,llamacpp-abuse,90,2026-09-19,2026-09-20,abuse|honeypot|llamacpp
87.120.104.29,llamacpp-abuse,90,2026-09-20,2026-09-20,abuse|honeypot|llamacpp
85.190.254.45,mcp-abuse,90,2026-09-19,2026-09-20,abuse|honeypot|mcp
80.94.92.55,ssh-exploit,90,2026-09-18,2026-09-20,bruteforce|exploit|gpu-probing|honeypot|ssh
80.94.92.179,ssh-exploit,90,2026-09-17,2026-09-20,bruteforce|exploit|gpu-probing|honeypot|ssh
69.5.20.202,llamacpp-abuse,90,2026-09-18,2026-09-20,abuse|honeypot|llamacpp
62.169.26.141,mcp-abuse,90,2026-09-19,2026-09-20,abuse|honeypot|mcp
62.169.20.168,mcp-abuse,90,2026-09-18,2026-09-20,abuse|honeypot|mcp
57.129.48.33,mcp-abuse,90,2026-09-19,2026-09-20,abuse|honeypot|mcp
54.39.20.224,mcp-abuse,90,2026-09-20,2026-09-20,abuse|honeypot|mcp
54.159.248.139,llamacpp-abuse,90,2026-09-20,2026-09-20,abuse|honeypot|llamacpp
51.68.224.189,mcp-abuse,90,2026-09-18,2026-09-20,abuse|honeypot|mcp
4.240.112.54,llamacpp-abuse,90,2026-09-20,2026-09-20,abuse|honeypot|llamacpp|redis
38.242.156.80,mcp-abuse,90,2026-09-20,2026-09-20,abuse|honeypot|mcp
36.255.97.185,llamacpp-key-replay,90,2026-09-16,2026-09-20,honeypot|key-replay|llamacpp|vllm
3.131.220.121,redis-exploit,90,2026-09-14,2026-09-20,exploit|honeypot|jupyter|litellm|llamacpp|mcp|ray|redis|vllm
217.60.242.21,vllm-abuse,90,2026-09-16,2026-09-20,abuse|honeypot|vllm
2.57.122.238,ssh-bruteforce,90,2026-09-14,2026-09-20,bruteforce|exploit|gpu-probing|honeypot|ssh
2.57.122.150,ssh-exploit,90,2026-09-13,2026-09-20,bruteforce|exploit|gpu-probing|honeypot|ssh
2.26.60.113,mcp-abuse,90,2026-09-18,2026-09-20,abuse|honeypot|mcp
2.25.232.211,mcp-abuse,90,2026-09-20,2026-09-20,abuse|honeypot|mcp
195.178.110.217,ssh-exploit,90,2026-09-16,2026-09-20,bruteforce|exploit|gpu-probing|honeypot|ssh
193.32.162.84,ssh-exploit,90,2026-09-15,2026-09-20,bruteforce|exploit|gpu-probing|honeypot|ssh
172.236.142.254,mcp-abuse,90,2026-09-20,2026-09-20,abuse|honeypot|mcp
170.130.187.18,redis-exploit,90,2026-09-19,2026-09-20,exploit|honeypot|llamacpp|ray|redis
170.130.187.10,redis-exploit,90,2026-09-14,2026-09-20,exploit|hfhub|honeypot|jupyter|llamacpp|ray|redis|vllm
169.58.235.1,mcp-abuse,90,2026-09-18,2026-09-20,abuse|honeypot|mcp
167.148.33.235,mcp-abuse,90,2026-09-19,2026-09-20,abuse|honeypot|mcp
161.97.134.31,mcp-abuse,90,2026-09-19,2026-09-20,abuse|honeypot|mcp
16.5.0.239,redis-exploit,90,2026-09-20,2026-09-20,exploit|hfhub|honeypot|jupyter|llamacpp|redis|vllm
147.93.158.45,mcp-abuse,90,2026-09-20,2026-09-20,abuse|honeypot|mcp
137.131.6.32,mcp-abuse,90,2026-09-18,2026-09-20,abuse|honeypot|mcp
13.140.171.11,mcp-abuse,90,2026-09-18,2026-09-20,abuse|honeypot|mcp
109.199.121.175,redis-exploit,90,2026-09-18,2026-09-20,bruteforce|exploit|honeypot|redis|vllm
109.160.32.94,ssh-exploit,90,2026-09-20,2026-09-20,bruteforce|exploit|gpu-probing|honeypot|ssh
109.160.32.78,ssh-exploit,90,2026-09-20,2026-09-20,bruteforce|exploit|gpu-probing|honeypot|ssh
109.160.32.46,ssh-exploit,90,2026-09-20,2026-09-20,bruteforce|exploit|gpu-probing|honeypot|ssh
102.220.161.79,ssh-bruteforce,95,2026-09-19,2026-09-19,bruteforce|honeypot|llamacpp|multi-sensor|ssh
89.58.47.1,mcp-abuse,90,2026-09-18,2026-09-19,abuse|honeypot|mcp
84.247.152.177,llamacpp-key-replay,90,2026-09-19,2026-09-19,abuse|hfhub|honeypot|jupyter|key-replay|litellm|llamacpp|mcp|vllm
82.165.190.49,mcp-abuse,90,2026-09-19,2026-09-19,abuse|honeypot|mcp
80.94.95.221,redis-exploit,90,2026-09-19,2026-09-19,exploit|honeypot|ray|redis
77.237.232.88,mcp-abuse,90,2026-09-19,2026-09-19,abuse|honeypot|mcp
72.56.111.121,mcp-abuse,90,2026-09-19,2026-09-19,abuse|honeypot|mcp
66.94.126.66,mcp-abuse,90,2026-09-18,2026-09-19,abuse|honeypot|mcp
51.68.180.9,mcp-abuse,90,2026-09-19,2026-09-19,abuse|honeypot|mcp
5.189.160.252,mcp-abuse,90,2026-09-19,2026-09-19,abuse|honeypot|mcp
217.216.51.142,mcp-abuse,90,2026-09-19,2026-09-19,abuse|honeypot|mcp
187.124.212.22,mcp-abuse,90,2026-09-19,2026-09-19,abuse|honeypot|mcp
164.132.195.45,mcp-abuse,90,2026-09-19,2026-09-19,abuse|honeypot|mcp
157.173.111.223,mcp-abuse,90,2026-09-19,2026-09-19,abuse|honeypot|mcp
151.115.99.171,mcp-abuse,90,2026-09-18,2026-09-19,abuse|honeypot|mcp
109.160.32.97,ssh-exploit,90,2026-09-19,2026-09-19,bruteforce|exploit|gpu-probing|honeypot|ssh
109.160.32.87,ssh-exploit,90,2026-09-19,2026-09-19,bruteforce|exploit|gpu-probing|honeypot|ssh
109.160.32.80,ssh-exploit,90,2026-09-19,2026-09-19,bruteforce|exploit|gpu-probing|honeypot|ssh
109.160.32.119,ssh-exploit,90,2026-09-19,2026-09-19,bruteforce|exploit|gpu-probing|honeypot|ssh
109.160.32.103,ssh-exploit,90,2026-09-19,2026-09-19,bruteforce|exploit|gpu-probing|honeypot|ssh
93.127.217.131,mcp-abuse,90,2026-09-18,2026-09-18,abuse|honeypot|mcp
92.118.39.14,ssh-exploit,90,2026-09-17,2026-09-18,bruteforce|exploit|gpu-probing|honeypot|ssh
8.220.195.43,mcp-abuse,90,2026-09-18,2026-09-18,abuse|honeypot|mcp
77.239.124.177,ssh-exploit,90,2026-09-18,2026-09-18,bruteforce|exploit|gpu-probing|honeypot|ssh
69.5.169.214,redis-exploit,90,2026-09-15,2026-09-18,exploit|honeypot|litellm|llamacpp|redis
62.171.128.157,mcp-abuse,90,2026-09-18,2026-09-18,abuse|honeypot|mcp
62.164.211.80,mcp-abuse,90,2026-09-18,2026-09-18,abuse|honeypot|mcp
2.57.122.209,ssh-exploit,90,2026-09-16,2026-09-18,bruteforce|exploit|gpu-probing|honeypot|ssh
177.126.132.44,ssh-exploit,90,2026-09-18,2026-09-18,bruteforce|exploit|gpu-probing|honeypot|ssh
172.104.59.192,mcp-abuse,90,2026-09-18,2026-09-18,abuse|honeypot|mcp
155.133.26.49,mcp-abuse,90,2026-09-18,2026-09-18,abuse|honeypot|mcp
112.133.194.158,ollama-abuse,90,2026-09-18,2026-09-18,abuse|honeypot|ollama
92.118.39.77,ssh-exploit,90,2026-09-16,2026-09-17,bruteforce|exploit|gpu-probing|honeypot|ssh
195.178.110.232,ssh-exploit,90,2026-09-16,2026-09-17,bruteforce|exploit|gpu-probing|honeypot|ssh
217.60.241.51,canary-aws-key,98,2026-09-15,2026-09-16,canary|cloud-abuse|credential-abuse|honeypot
92.118.39.71,ssh-bruteforce,90,2026-09-14,2026-09-16,bruteforce|exploit|gpu-probing|honeypot|ssh
92.118.39.57,llamacpp-abuse,90,2026-09-16,2026-09-16,abuse|honeypot|llamacpp
54.37.84.93,llamacpp-abuse,90,2026-09-15,2026-09-16,abuse|honeypot|llamacpp
217.60.195.128,jupyter-key-replay,90,2026-09-15,2026-09-16,honeypot|jupyter|key-replay|llamacpp|vllm
2.57.122.168,ssh-exploit,90,2026-09-16,2026-09-16,bruteforce|exploit|gpu-probing|honeypot|ssh
195.178.110.218,ssh-bruteforce,90,2026-09-16,2026-09-16,bruteforce|exploit|gpu-probing|honeypot|ssh
45.153.34.54,jupyter-abuse,90,2026-09-15,2026-09-15,abuse|honeypot|jupyter
204.76.203.7,vllm-bruteforce,90,2026-09-15,2026-09-15,bruteforce|honeypot|vllm
195.178.110.228,ssh-bruteforce,90,2026-09-14,2026-09-15,bruteforce|exploit|gpu-probing|honeypot|ssh
195.178.110.227,ssh-exploit,90,2026-09-15,2026-09-15,bruteforce|exploit|gpu-probing|honeypot|ssh
185.213.193.213,llamacpp-abuse,90,2026-09-15,2026-09-15,abuse|honeypot|llamacpp
161.118.244.13,vllm-abuse,90,2026-09-14,2026-09-14,abuse|honeypot|vllm
161.118.213.33,llamacpp-abuse,90,2026-09-14,2026-09-14,abuse|honeypot|llamacpp
